广东移动IPTV中兴平台（按IP排序）
咪咕-高清赛事29,rtp://239.21.0.33:3472
CCTV-11高清,rtp://239.21.0.35:3480
CCTV-15高清,rtp://239.21.0.36:3484
CETV-2,rtp://239.21.0.46:3524
CETV-4,rtp://239.21.0.47:3528
风云足球高清,rtp://239.21.0.70:3620
央视台球高清,rtp://239.21.0.71:3624
高尔夫网球高清,rtp://239.21.0.72:3628
女性时尚高清,rtp://239.21.0.73:3632
世界地理高清,rtp://239.21.0.74:3636
怀旧剧场高清,rtp://239.21.0.75:3640
风云剧场高清,rtp://239.21.0.76:3644
央视精品高清,rtp://239.21.0.77:3648
第一剧场高清,rtp://239.21.0.78:3652
风云音乐高清,rtp://239.21.0.79:3656
兵器科技高清,rtp://239.21.0.80:3660
电视指南高清,rtp://239.21.0.81:3664
大湾区卫视高清,rtp://239.21.0.84:3676
广东影视高清,rtp://239.21.0.85:3680
广东民生高清,rtp://239.21.0.86:3684
广东少儿高清,rtp://239.21.0.87:3688
CCTV-13高清,rtp://239.21.0.88:3692
广东新闻高清,rtp://239.21.0.93:3712
嘉佳卡通高清,rtp://239.21.0.94:3716
精选4k频道1,rtp://239.21.0.97:3728
河南卫视高清,rtp://239.21.0.104:3756
南方购物-精选,rtp://239.21.0.105:3760
早期教育高清,rtp://239.21.0.106:3764
CCTV4中文国际欧洲高清,rtp://239.21.0.107:3768
CCTV4中文国际美洲高清,rtp://239.21.0.108:3772
CGTN 英语,rtp://239.21.0.109:3776
CGTN 英文记录,rtp://239.21.0.110:3780
CGTN 西班牙语,rtp://239.21.0.111:3800
CGTN 法语,rtp://239.21.0.112:3788
CGTN 阿拉伯语,rtp://239.21.0.113:3792
CGTN 俄语,rtp://239.21.0.114:3796
金鹰卡通高清,rtp://239.21.0.115:3804
CCTV-16高清,rtp://239.21.0.116:3808
云南卫视高清,rtp://239.21.0.133:3876
海南卫视高清,rtp://239.21.0.134:3880
中学生,rtp://239.21.0.139:3900
书画,rtp://239.21.0.140:3904
甘肃卫视高清,rtp://239.21.0.141:3908
CETV-4高清,rtp://239.21.0.142:3912
三沙卫视高清,rtp://239.21.0.143:3916
青海卫视高清,rtp://239.21.0.144:3920
岭南戏曲高清,rtp://239.21.0.147:3932
现代教育高清,rtp://239.21.0.148:3936
发现之旅,rtp://239.21.0.151:3948

咪咕-高清赛事9,rtp://239.20.0.9:3368
咪咕-高清赛事8,rtp://239.20.0.10:3364
咪咕-高清赛事7,rtp://239.20.0.11:3360
咪咕-高清赛事6,rtp://239.20.0.12:3356
咪咕-高清赛事5,rtp://239.20.0.13:3352
咪咕-高清赛事4,rtp://239.20.0.14:3348
移动咪咕五大联赛4K-2,rtp://239.20.0.65:3140
咪咕五大联赛4K-1,rtp://239.20.0.66:3136
百视通高清直播室101,rtp://239.20.0.42:3236
百视通高清直播室102,rtp://239.20.0.41:3240
百视通高清直播室107,rtp://239.20.0.36:3260
百视通高清直播室106,rtp://239.20.0.37:3256
百视通高清直播室105,rtp://239.20.0.38:3252
百视通高清直播室104,rtp://239.20.0.39:3248
百视通高清直播室103,rtp://239.20.0.40:3244
咪咕-高清赛事1,rtp://239.20.0.45:3224
咪咕-高清赛事2,rtp://239.20.0.44:3228
咪咕-高清赛事3,rtp://239.20.0.43:3232
精选频道5,rtp://239.20.0.18:3332
精选频道4,rtp://239.20.0.19:3328
精选频道3,rtp://239.20.0.20:3324
精选4k频道3,rtp://239.20.0.46:3220
精选频道2,rtp://239.20.0.21:3320
